"ID","Nombre VM","Estado","Estatus","CPU CORES","vCPUs","CPU Asignado Mhz","CPU Uso Mhz","MEM Asignada(GB)","MEM Uso (GB)","Disco Asignado (GB)","Disco Uso (GB)","Disco Read Latency","Disco Write Latency","Disco Read IOPS","Disco Write IOPS","Sistema Op.","IP address","Host","Path"
"ed19b776-f13d-5edb-9b9e-50c040e86d4e","VMMILENIUM03","POWERED_ON","OK","4","8","0","63","16","0.4794921875","290","251.98919965326786","0","0","0","160","Microsoft Windows Server 2008 R2 (64-bit)","10.10.30.149","esxi-lurin-02.comercio.local","[DS-PAN-LC-002] VMMILENIUM03/VMMILENIUM03.vmx"
"f5410bc9-e5c1-5ccb-bd7b-642731a34fb6","TITAN02","POWERED_OFF","OK","16","16","0","0","64","0","2824","805.8860498117283","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","","esxi-surco-03.comercio.local","[DS-VIC-LC-001] TITAN02/TITAN02.vmx"
"f8d75e17-2f84-534f-8ab7-f1b60a954768","HIPERION02","POWERED_OFF","OK","16","16","0","0","64","0","3724","742.5749076725915","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","","esxi-surco-02.comercio.local","[DS-VIC-LC-001] HIPERION02/HIPERION02.vmx"
"fc494c8c-8442-5805-985d-86fec1712541","LCECDONGLE01","POWERED_ON","OK","4","8","0","0","16","0","100","25.77864863909781","0","0","0","69","Microsoft Windows 10 (64-bit)","192.168.69.25","esxi-surco-02.comercio.local","[DS-VIC-LC-001] LCECDONGLE01/LCECDONGLE01.vmx"
"4689c757-b8c5-5e0a-ab1a-9fd5e38ce2da","LCECZTNA","POWERED_ON","OK","2","4","0","0","4","0","40","27.880409673787653","0","0","0","148","Ubuntu Linux (64-bit)","10.10.35.220","esxi-lurin-01.comercio.local","[DS-PAN-LC-001] LCECZTNA/LCECZTNA.vmx"
"243dfb69-7ec5-5efb-800f-94398a917969","SERVL009-R31","POWERED_OFF","OK","4","16","0","0","4","0","240","213.7713937945664","0","0","0","0","Microsoft Windows Server 2003 Standard (32-bit)","192.168.5.15","esxi-surco-03.comercio.local","[DS-SYNC-001] SERVL009-R31/SERVL009-R31.vmx"
"f073815c-ee5b-5bc2-ae9c-f03de46d9814","SERVL009-R30","POWERED_OFF","OK","4","16","0","0","4","0","240","213.1215416258201","0","0","0","0","Microsoft Windows Server 2003 Standard (32-bit)","192.168.5.15","esxi-surco-03.comercio.local","[DS-SYNC-001] SERVL009-R30/SERVL009-R30.vmx"
"5a96d606-74f5-5feb-bba0-a2636f32cc37","PANSQL01","POWERED_ON","OK","4","8","0","1134","32","0.3193359375","1680","822.3493187697604","0","0","0","0","Microsoft Windows Server 2008 R2 (64-bit)","192.168.63.130","esxi-lurin-02.comercio.local","[DS-PAN-LC-003] PANSQL01/PANSQL01.vmx"
"97b148cc-7bbd-5a6c-986d-6e0fb36afb34","LCECAIRFLOW","POWERED_ON","OK","4","4","0","1638","12","2.279296875","200","121.44504131935537","0","0","43","1630","Red Hat Enterprise Linux 7 (64-bit)","10.10.28.80","esxi-surco-01.comercio.local","[DS-SYNC-002] LCECAIRFLOW/LCECAIRFLOW.vmx"
"35ef42ea-7a05-561a-934a-9c8a47184a74","PAECINFORMIX01","POWERED_ON","OK","8","8","0","63","36","1.439453125","2824","1186.0835493076593","0","0","0","9","Red Hat Enterprise Linux 7 (64-bit)","10.10.3.16","esxi-lurin-02.comercio.local","[DS-PAN-LC-001] PAECINFORMIX01/PAECINFORMIX01.vmx"
"7d8221ec-935a-526d-b6c5-37d02daf898e","VMTERMINAL03-R3","POWERED_ON","OK","2","2","0","63","8","0.2392578125","70","60.251864469610155","0","0","0","573","Microsoft Windows Server 2008 R2 (64-bit)","10.10.30.174","esxi-lurin-02.comercio.local","[DS-PAN-LC-003] VMTERMINAL03-R3/VMTERMINAL03-R3.vmx"
"31918047-6ca7-558b-85da-c308ad1af7c3","PANARKITEX01","POWERED_ON","OK","14","14","0","231","22","1.5390625","260","242.69256437942386","0","0","20","355","Microsoft Windows Server 2012 (64-bit)","192.168.62.135","esxi-surco-01.comercio.local","[DS-SYNC-001] PANARKITEX01/PANARKITEX01.vmx"
"51c68237-8e15-5431-8792-6b9fb913fd20","ELVISPROCESS04","POWERED_ON","OK","16","16","0","168","64","0.6396484375","900","634.7803361872211","0","0","0","320","Red Hat Enterprise Linux 7 (64-bit)","10.10.29.95","esxi-surco-01.comercio.local","[DS-SYNC-001] ELVISPROCESS04/ELVISPROCESS04.vmx"
"f55cf623-3653-5a46-81fe-739c44018559","LIMTROME","POWERED_ON","OK","8","32","0","84","16","0.7998046875","1066","1065.2943749949336","0","0","0","0","CentOS 4/5/6 (64-bit)","10.10.29.5","esxi-surco-01.comercio.local","[DS-SYNC-003] LIMTROME/LIMTROME.vmx"
"793e13e9-e2fb-5ef1-adb5-07b85526787a","COMERCIO_ERPPRD01_RESTORE2","POWERED_ON","OK","8","16","0","1050","48","6.7197265625","8415.199999809265","8463.294086521491","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.35.90","esxi-surco-01.comercio.local","[DS-VIC-LC-004] COMERCIO_ERPPRD01_RESTORE2/COMERCIO_ERPPRD01_RESTORE2.vmx"
"4c908dc2-474e-512d-8adc-8ee4894cd038","LCECFTP05","POWERED_ON","OK","2","4","0","63","8","0.3994140625","500","456.2972542764619","0","0","0","547","CentOS 4/5/6 (64-bit)","10.10.28.45","esxi-lurin-02.comercio.local","[DS-VIC-LC-005] LCECFTP05/LCECFTP05.vmx"
"3c50975e-d802-5794-aed0-b45c2596b9cc","LIMFILEBACK","POWERED_ON","OK","2","4","0","231","10","0.7998046875","200","76.33415568154305","0","0","0","453","Microsoft Windows Server 2012 (64-bit)","10.10.29.27","esxi-surco-01.comercio.local","[DS-SYNC-003] LIMFILEBACK/LIMFILEBACK.vmx"
"6c43ea08-9840-5f84-aa82-675d423e4e20","PAECOPTIINK2","POWERED_ON","OK","4","16","0","2919","10","1.19921875","650","361.67171106953174","0","0","152","187","Microsoft Windows Server 2012 (64-bit)","192.168.68.145","esxi-surco-01.comercio.local","[DS-SYNC-001] PAECOPTIINK2/PAECOPTIINK2.vmx"
"41edaef4-2cd9-5841-b432-0408f039fb3f","SERVAPP01","POWERED_ON","OK","2","4","0","147","14","2.6591796875","390","340.75699090771377","0","0","0","27","Microsoft Windows Server 2008 R2 (64-bit)","10.10.34.7","esxi-surco-01.comercio.local","[DS-SYNC-002] SERVAPP01/SERVAPP01.vmx"
"1faff2f0-9eeb-5edc-90aa-3abec7cee927","LCECBDSQL","POWERED_ON","OK","4","4","0","63","64","0.6396484375","220","169.53571717627347","0","0","0","1","Microsoft Windows Server 2016 (64-bit)","10.10.33.21","esxi-surco-01.comercio.local","[DS-SYNC-003] LCECBDSQL/LCECBDSQL.vmx"
"62753a5b-3558-5ff2-a625-765543a779fc","LCECAPPSGC","POWERED_ON","OK","6","6","0","210","32","0.3193359375","100","65.76637754309922","0","0","1","357","Microsoft Windows Server 2016 (64-bit)","10.10.35.107","esxi-surco-01.comercio.local","[DS-SYNC-003] LCECAPPSGC/LCECAPPSGC.vmx"
"5061fdcf-a405-5a64-a0a3-b07c03017363","LCECW81QA02","POWERED_ON","OK","2","2","0","441","16","1.439453125","60","48.10210259165615","0","0","0","228","Microsoft Windows 8.x (64-bit)","192.168.69.33","esxi-lurin-02.comercio.local","[DS-PAN-LC-001] LCECW81QA02/LCECW81QA02.vmx"
"d5dde506-da0f-5e61-be3d-e319c68d6d21","LCECPRODFEBD","POWERED_ON","OK","10","10","0","588","80","1.599609375","2239","1802.358774091117","0","0","0","0","Microsoft Windows Server 2016 (64-bit)","10.10.33.3","esxi-surco-01.comercio.local","[DS-SYNC-002] LCECPRODFEBD/LCECPRODFEBD.vmx"
"14f6b35a-aef0-542b-9a7e-7b970c7954b5","LCECCPAS01","POWERED_ON","OK","8","8","0","1008","8","3.19921875","1000","182.91572317946702","9","0","1029578","5239","CentOS 4/5/6 (64-bit)","10.10.30.21","esxi-surco-01.comercio.local","[DS-VIC-LC-001] LCECCPAS01/LCECCPAS01.vmx"
"c1f7d06e-35d0-5941-8412-408bd95959c6","LCECMOVM02","POWERED_ON","OK","6","36","0","2247","8","0.3994140625","10","15.420655098743737","0","0","0","505","Red Hat Enterprise Linux 6 (64-bit)","10.10.30.27","esxi-surco-01.comercio.local","[DS-VIC-LC-002] LCECMOVM02/LCECMOVM02.vmx"
"d907099b-87d4-5936-a495-611ae29bf08f","GESACPROTAPPMI-R","POWERED_ON","OK","10","50","0","441","10","0.7998046875","350","229.7367354258895","0","0","7383","0","Microsoft Windows Server 2012 (64-bit)","10.10.30.153","esxi-surco-01.comercio.local","[DS-SYNC-001] GESACPROTAPPMI-R/GESACPROTAPPMI-R.vmx"
