

===================================
AI Trader Integrated V2.11
Market Scan: 2026-09-25 01:17:17.853013
Run ID: MAIN_20260925_011717
===================================
[PERF-TRACKER] V1.4 cache strategy | persistent_broad_request=5y | auto_adjust=False | miss_acquisition=MarketDataV2-multi
[MARKET_DATA] CACHE HIT | ticker=AAPL | period=5y | interval=1d | auto_adjust=False | cache=market_ab194939ffc094415e62fd105c4c9ae8e95c69dce5d54bcbbce16c011c1609b7.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=AAPL | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=AMD | period=5y | interval=1d | auto_adjust=False | cache=market_1f94334e160570905d71b4242eda1d346279b8a5298a186fe40d5c651b5e1a2b.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=AMD | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=AMZE | period=5y | interval=1d | auto_adjust=False | cache=market_0ae2c5b9a9932672813ca730aab791065ce4eb130fcff79e3cad175eb787b829.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=AMZE | cache=AVAILABLE | broad=5y | rows=1199 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=AMZN | period=5y | interval=1d | auto_adjust=False | cache=market_2acff954b3003a942774adee55e0170c41a3c0d8c3ecaa096863006ec857b08f.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=AMZN | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=ANRO | period=5y | interval=1d | auto_adjust=False | cache=market_33635441380ed0f4a4ab48ad994b39f19d89eac0dd0b6f4be2532f4293117a19.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=ANRO | cache=AVAILABLE | broad=5y | rows=662 | elapsed=0.07s
[MARKET_DATA] CACHE HIT | ticker=ASMG | period=5y | interval=1d | auto_adjust=False | cache=market_8518d9723322ca4907e01bf29599532691de635b4076e2da5f848ea6143b4b59.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=ASMG | cache=AVAILABLE | broad=5y | rows=425 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=AVGO | period=5y | interval=1d | auto_adjust=False | cache=market_21c9f3fa1c7f03f6d3ddcb2857a9606748c1436445932a52882bb4d58aae4719.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=AVGO | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=AXTI | period=5y | interval=1d | auto_adjust=False | cache=market_3a0b3a4d95acf1c4df244171bb308540b31178061bbc6020b601b03d1d33dff3.pkl
